Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
44A0689,425215,437867,3,4/10/2017,1255,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54
44B0233,435560,431300,1,4/11/2017,0650,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,32
44B0554,424127,428194,2,4/11/2017,1100,A650,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,74
44B0939,428492,433117,3,4/11/2017,1445,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,57
44B1065,430003,438656,1,4/11/2017,1536,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,70
44B1108,429156,430757,1,4/11/2017,1550,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,6
44B1435,432434,426187,2,4/11/2017,1817,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,30
44C0286,436506,441867,2,4/12/2017,0851,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,70
44C1082,427322,439260,2,4/12/2017,1620,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,9
44C1082,427322,439260,2,4/12/2017,1620,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,70
44C1168,419900,434092,4,4/12/2017,1700,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,39
44D0633,433999,435142,2,7/4/2017,1229,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,41
44D0967,427763,431683,2,4/14/2017,1500,A62,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,7
44D1027,431141,433617,2,4/13/2017,1536,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,21
44D1486,428666,425374,2,4/13/2017,1900,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,25
44E0562,425632,438730,1,4/14/2017,1102,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,15
44E1402,432605,433922,1,4/14/2017,1830,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,54
44E1732,426569,427289,2,4/14/2017,2120,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,26
44E1732,426569,427289,2,4/14/2017,2120,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,60
44E1962,430083,431222,2,4/14/2017,2342,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,24
44E1965,429832,438889,1,4/14/2017,2343,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,12
44F0815,430680,434569,2,4/15/2017,1313,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,49
44F1131,430275,433407,1,4/15/2017,1600,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Female,45
44F1186,427156,437353,3,4/15/2017,1625,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,56
44F1750,433446,434059,2,4/15/2017,2145,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,26
44G0906,430788,434777,2,4/16/2017,1454,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
44G0984,423362,437649,2,4/16/2017,1545,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
44G1394,435718,435739,1,4/16/2017,1816,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,47
44G1407,420994,435169,1,4/16/2017,1945,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,20
44G1512,430780,438592,2,4/16/2017,2047,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,20
44G1674,433532,425854,1,4/16/2017,2210,M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,36
44G1773,428692,433187,2,4/16/2017,2312,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,15
44G1773,428692,433187,2,4/16/2017,2312,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,43
44H0688,431236,434803,2,4/18/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,26
44H0721,428813,433303,3,4/17/2017,1300,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,40
44H0721,428813,433303,3,4/17/2017,1300,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63
44I0488,418071,442615,3,4/18/2017,1040,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,81
44I0678,427569,434540,2,4/18/2017,0750,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,42
44I1269,421666,436128,5,4/18/2017,1715,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,49
44I1596,433053,434095,2,4/6/2017,1015,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle0,Vehicle or pillion passenger,Slight,Female,81
44I1750,427301,433634,2,4/18/2017,2107,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,24
44I1750,427301,433634,2,4/18/2017,2107,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,33
44I1778,427944,430316,2,4/18/2017,2119,A6110,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,19
44J0902,437020,433588,2,4/19/2017,1442,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,77
44J1161,426060,435592,3,4/19/2017,1640,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,64
44J1161,426060,435592,3,4/19/2017,1640,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,62
44J1161,426060,435592,3,4/19/2017,1640,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,65
44J1939,434385,435138,2,4/19/2017,2313,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,37
44K0272,440551,432016,1,4/20/2017,0815,B6137,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20
44K0914,421699,432953,2,4/20/2017,1539,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Female,18
44K0955,432870,444975,1,4/20/2017,1550,A659,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Pedestrian,Fatal,Female,57
44K1031,434388,427934,2,4/9/2017,2050,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,49
44K1031,434388,427934,2,4/9/2017,2050,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,25
44K1031,434388,427934,2,4/9/2017,2050,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,7
44L0331,427485,437004,2,4/21/2017,0903,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,26
44M0695,426140,435591,2,4/22/2017,1150,B6157,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,52
44M0695,426140,435591,2,4/22/2017,1150,B6157,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,31
44M0695,426140,435591,2,4/22/2017,1150,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,37
44M0833,432665,435865,1,4/21/2017,1920,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,3
44M0836,428267,434454,2,4/21/2017,1910,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,60
44M1248,431533,429883,2,4/22/2017,1645,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,28
44M1295,427322,437201,2,4/22/2017,1711,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
44M1379,429254,433501,3,4/22/2017,1605,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27
44M1509,430823,434111,1,4/22/2017,1847,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,24
44N0367,428098,434518,2,4/23/2017,0450,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,41
44N0628,439774,432432,2,4/23/2017,1100,A63,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,62
44N0628,439774,432432,2,4/23/2017,1100,A63,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Vehicle or pillion passenger,Slight,Female,55
44N0923,434620,441227,2,4/23/2017,1410,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42
44O0174,425228,437877,2,4/24/2017,0705,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,23
44O1237,439381,432410,2,4/24/2017,1702,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,56
44O1255,430869,435329,2,4/24/2017,1709,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,34
44O1255,430869,435329,2,4/24/2017,1709,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,15
44O1255,430869,435329,2,4/24/2017,1709,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,25
44P0751,436179,427756,2,4/22/2017,1830,A639,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,37
44P0751,436179,427756,2,4/22/2017,1830,A639,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Vehicle or pillion passenger,Slight,Female,35
44P0924,427834,436300,1,4/16/2017,1031,A660,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,63
44P1127,429825,432963,1,4/25/2017,1600,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,24
44P1178,433190,433142,2,4/25/2017,1645,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,42
44P1178,433190,433142,2,4/25/2017,1645,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,13
44P1195,422801,437421,2,4/25/2017,1650,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
44P1617,428973,433603,2,4/21/2017,0835,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
44Q0210,425621,428582,2,4/26/2017,0741,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30
44Q0271,432937,426585,2,4/26/2017,0730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,13
44Q1084,427614,433001,2,4/26/2017,1550,B6154,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,13
44Q1497,432209,438093,2,4/26/2017,1918,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,50
44R0257,428849,440085,2,4/27/2017,0816,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
44R0287,432040,426285,2,4/27/2017,0831,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51
44R0287,432040,426285,2,4/27/2017,0831,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,39
44R0745,429387,434940,1,4/27/2017,1300,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,75
44R1166,426946,432850,2,4/27/2017,1641,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,38
44R1463,429492,432910,2,4/27/2017,1900,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,27
44R1554,430071,433947,1,4/27/2017,1910,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,41
44R1802,437512,431954,1,4/27/2017,2230,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,18
44R1802,437512,431954,1,4/27/2017,2230,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,19
44R1802,437512,431954,1,4/27/2017,2230,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,18
44R1802,437512,431954,1,4/27/2017,2230,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
44S0270,432460,433906,2,4/28/2017,0805,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,34
44S0337,422251,443530,2,4/28/2017,0906,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Driver or rider,Slight,Female,48
44S0438,433645,425843,2,4/28/2017,1020,M62,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,56
44S0656,430865,434169,2,4/28/2017,0902,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,51
44S0958,421622,434072,2,4/28/2017,1457,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,57
44S1163,432381,434684,2,4/28/2017,1624,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29
44S1163,432381,434684,2,4/28/2017,1624,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,2
44S1163,432381,434684,2,4/28/2017,1624,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,1
44S1163,432381,434684,2,4/28/2017,1624,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
44T0545,426831,437312,2,4/29/2017,0954,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,62
44T1292,430955,435807,1,4/29/2017,1652,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Fatal,Male,4
44U0094,431595,435238,2,4/30/2017,0100,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,18
44U1012,421730,440794,3,4/30/2017,1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,21
44U1012,421730,440794,3,4/30/2017,1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,20
44U1597,431035,432152,2,4/30/2017,1949,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,17
44U1769,429845,433435,1,4/30/2017,2142,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,38
4510222,423148,428001,2,5/1/2017,0315,A650,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,21
4510767,427488,435271,1,4/30/2017,2000,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,20
4511048,425386,433388,2,5/1/2017,1440,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,21
4511866,429419,433890,1,5/1/2017,2135,A58(M),Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,31
4511921,430981,434453,2,5/1/2017,2200,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,31
4520012,431771,435539,2,5/2/2017,0006,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,21
4520310,424327,439021,2,5/2/2017,0825,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,50
4520313,429674,433030,2,5/2/2017,0830,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,29
4520396,431419,434088,2,5/2/2017,0930,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,55
4520706,432479,438757,1,4/28/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Serious,Male,40
4520998,420155,445827,1,5/2/2017,1510,B6451,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,11
4521345,418755,442128,1,5/2/2017,1800,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,19
4521440,436338,434705,1,5/2/2017,1620,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,87
4521529,429776,435223,2,5/2/2017,1935,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,8
4530098,429593,435398,2,5/3/2017,0134,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,26
4530360,426372,437940,2,5/3/2017,0750,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25
4530618,430002,427803,2,5/3/2017,1125,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,19
4530736,431969,430307,2,5/3/2017,1227,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,82
4531116,429199,433851,1,5/3/2017,1516,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,63
4531154,424338,435319,1,5/3/2017,1531,A657,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,74
4531870,424612,435112,2,5/3/2017,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Female,29
4540258,425412,434438,2,5/4/2017,0753,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,10
4540461,436767,434233,1,5/4/2017,1025,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,86
4540961,430126,432863,2,5/3/2017,1540,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26
4541258,430624,434659,2,5/4/2017,1650,A58,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Slight,Male,47
4541280,432016,433574,1,5/4/2017,1540,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,1
4541367,429136,429898,1,5/4/2017,1755,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,1
4541382,428929,432434,2,5/4/2017,1745,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,40
4541733,425962,436979,2,5/4/2017,2036,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,24
4550283,430311,435038,2,5/5/2017,0816,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Female,23
4550298,425165,437877,2,5/5/2017,0746,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,29
4550477,427608,433720,2,5/5/2017,0915,A647,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,18
4550477,427608,433720,2,5/5/2017,0915,A647,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,38
4550947,426431,433301,2,5/5/2017,1425,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48
4551392,431616,426342,2,5/5/2017,1710,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,23
4551562,420656,436869,1,5/5/2017,1832,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,11
4551577,428181,436719,1,5/5/2017,1840,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,16
4551577,428181,436719,1,5/5/2017,1840,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,47
4551669,431570,435558,2,5/5/2017,1915,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,49
4551819,431905,428055,1,5/5/2017,2040,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,67
4551917,426596,433502,1,5/5/2017,1850,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,48
4560901,440841,431091,2,5/6/2017,1351,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,11
4561717,428866,432369,2,5/6/2017,2050,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Male,21
4570372,430262,426449,2,5/7/2017,0610,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,39
4580539,421360,440488,1,4/28/2017,2030,A658,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,24
4590278,432745,429200,1,5/9/2017,0802,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,54
4590564,435009,435982,2,5/3/2017,1455,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29
4591031,431629,435294,1,6/9/2017,1440,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,79
4591317,434803,425892,3,5/9/2017,1725,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,29
4591438,428333,435747,2,5/9/2017,1822,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,42
4591496,427983,436040,2,5/9/2017,1846,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,48
4591552,426166,435514,2,5/8/2017,1220,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20
4591649,436176,427382,2,5/9/2017,1955,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,24
4591649,436176,427382,2,5/9/2017,1955,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,49
45A0163,425109,436682,2,5/10/2017,0615,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,58
45A0189,431292,432112,2,5/10/2017,0655,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,23
45A0739,427817,434076,3,5/15/2017,1255,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Female,18
45A1054,441345,430973,2,5/10/2017,1500,B6137,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,13
45B0348,420804,436820,2,5/11/2017,0750,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,9
45B0538,432073,435855,1,5/11/2017,0745,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,16
45B1107,426864,432185,2,5/11/2017,1527,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,24
45B1345,431844,435383,1,5/11/2017,1714,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Vehicle or pillion passenger,Slight,Female,30
45B1534,427898,436194,2,5/11/2017,1534,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,57
45B1729,432400,426059,2,5/11/2017,1850,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,24
45B1864,429509,431018,1,5/11/2017,2140,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle0,Driver or rider,Slight,Male,38
45B1995,432717,438263,2,5/11/2017,2116,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,52
45C0250,424819,438371,1,5/12/2017,0738,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,83
45C1807,424989,432895,2,5/12/2017,2105,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,16
45D0994,425109,434211,1,5/13/2017,1212,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,61
45D1568,428257,429599,2,5/12/2017,1832,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Female,62
45D1568,428257,429599,2,5/12/2017,1832,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,39
